,similarity_scores_85
Multiple small meeting rooms,"['Multiple large conference rooms', 'Multiple small meeting rooms', 'Meeting room(s) small groups']"
24 hour concierge,"['24 hour reception', '24 hour room service', 'Porterage 24 hour', '24 hour concierge', '24-hour Room Service']"
Earliest check-in at 14:00,['Earliest check-in at 14:00']
Inter-Connecting Door option,['Inter-Connecting Door option']
Airport Shuttle,"['Airport shuttle(surcharge)', 'Airport transportation (complimentary)', 'Shuttle', 'Airport transportation', 'Airport Shuttle (free)', 'Airport Shuttle', 'Airport Shuttle (surcharge)']"
Family Rooms,"['Family Rooms', 'Family rooms']"
Windsurfing,['Windsurfing']
Internet access,"['Free WiFi Internet Connectivity', 'High speed Internet access', 'Dial-up Internet access - complimentary', 'Internet access-high-speed', 'Internet Services', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Broadband Internet Connection', 'Internet access-high speed', 'Internet access (on request)', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']"
Playground,"['Playground (nearby)', 'Playground']"
Zoo,['Zoo']
Direct-dial phone,"['Direct dial phone', 'Direct-dial phone']"
Separate dining room,"['Living Room and Bed Room', 'Patio-room', 'Separate living room', 'Separate Dinning area', 'Dining Hall', 'TVLiving Room', 'Separate dining room', 'Separate Lounge', 'Separate dining area']"
Pool table,"['Pool / Snooker Table', 'Billiards/pool table', 'Pool Table', 'Pool table', 'Billiards or pool table']"
Shops (nearby),"['Shops (nearby)', 'Shops']"
valet,"['Valet parking', 'Valet', 'Parking(valet)', 'Valet Parking', 'valet']"
Room size (square meters),"['Room size (square feet)', 'Room size (square meters)']"
Ball games,['Ball games']
Wardrobe,['Wardrobe']
Gift shops or news-stand,['Gift shops or news-stand']
Sunset cruises,"['Cruises', 'Sunset cruises']"
salon,"['Hair salon', 'Barber/beauty salon', 'salon']"
"Fax, Scanner & Printer Machine","['Fax, Scanner & Printer', 'Fax Machine', 'Fax, Scanner & Printer Machine']"
Tour Desk,"['Tour desk', 'Tour Desk']"
Obstacle course,['Obstacle course']
Kitchen,['Kitchen']
Cinema,['Cinema']
Room Size:22 sq m(236 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Rainfall showerhead,['Rainfall showerhead']
Badminton Court,"['Tennis Court', 'Badminton Court', 'Volleyball Court']"
Concierge,"['Concierge desk', 'Concierge Service', 'Concierge services', 'Concierge']"
250 sq ft,"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Yoga Meditation Centre,"['Yoga', 'Meditation', 'Yoga Meditation Centre']"
Floor butler,['Floor butler']
Fishing,"['Fishing Rods', 'Fishing']"
Wine shop,['Wine shop']
Free secure parking,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Parking(secure)', 'Secure parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
Shooting,['Shooting']
Medical services,"['Medical facilities', 'Medical services', 'Medical assistance available']"
TV Internet access (complimentary),"['Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Wireless Internet access (surcharge)', 'Internet access-complimentary', 'Wireless Internet access - surcharge']"
Dictaphone,['Dictaphone']
Pedal boat,['Pedal boat']
Area shuttle,"['Area shuttle (complimentary)', 'Area shuttle', 'Area shuttle (surcharge)']"
Cycling,['Cycling']
Baby cot,"['cot', 'Baby cot']"
Card room,"['Cards Room', 'Card room']"
Room Size: 14 sq m (150 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Ironing Board,"['Iron/ironing board', 'Iron/ironing board (on request)', 'Ironing Board', 'Iron/ironing board(on request)']"
Congress facilities,['Congress facilities']
Carom (billiards),"['Billiards', 'Carom (billiards)']"
Helicopter landing-pad,['Helicopter landing-pad']
Garden Area for Morning,['Garden Area for Morning']
Meeting room(s) small groups,"['Multiple small meeting rooms', 'Meeting room(s) small groups', 'One meeting/conference room']"
Barbeque Shack,['Barbeque Shack']
Sofa Cum bed,"['Sofa Cum bed', 'Sofa bed']"
Safety Deposit Box,"['Safety Deposit Lockers', 'Safety deposit box', 'Safety Deposit Box']"
Toothbrush/Razor on request,['Toothbrush/Razor on request']
Bicycle Rental,"['Bicycle rental (nearby)', 'Bicycle Rental']"
568 Sq Ft,"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Travel & Transfers,['Travel & Transfers']
Kite surfing,['Kite surfing']
Airport Transfer Available With Charges Rs.200/- Per Trip,['Airport Transfer Available With Charges Rs.200/- Per Trip']
Ballroom,"['Ballroom', 'Ballroom dancing']"
Tea/Coffee Maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
Resto-bar,['Resto-bar']
Cell phone rental,"['Cell phone/mobile rental', 'Cell phone rental']"
Photographer,['Photographer']
Sofa bed,"['Sofa Cum bed', 'Sofa bed', 'Sofa', 'Sofa bed size']"
Rooms/Facilities for Disabled Guests,"['Disabled facilities', 'Disabled Facilities', 'Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']"
TVMinibar,[]
Geyser In Bathroom,"['Geyser in the Bathroom', 'Geyser In Bathroom']"
Shopping center shuttle (complimentary),"['Area shuttle (complimentary)', 'Shopping center shuttle (surcharge)', 'Shopping center shuttle (complimentary)']"
ATM/banking,['ATM/banking']
Business services,"['Banking services', 'Business services']"
ac,['ac']
Hot/cold Water,"['TVHot/cold Water', 'Hot & Cold water', 'Hot Water', '24-hrs Hot & Cold Water', 'hot water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Hot/cold Water', 'TVHot & Cold Running Water']"
Kids Play Area,"[""Children's play area"", 'Kids Play Area', ""Children's Play Area""]"
Gizer,[]
News stand,['News stand']
Slippers,['Slippers']
Jewellery shop,['Jewellery shop']
Piped/Channel Music,['Piped/Channel Music']
Free guest parking during stay,['Free guest parking during stay']
Patio,"['Furnished patio', 'Patio-room', 'Patio', 'Balcony or patio']"
Art collection,['Art collection']
Abseiling,['Abseiling']
Free Pick,['Free Pick']
TVHot & Cold Running Water,"['Hot and cold running water available 24 hrs', 'TVHot/cold Water', 'Hot & Cold water', 'Hot & Cold Running Water', 'Hot/cold Water', 'TVHot & Cold Running Water']"
Internet access-complementary,"['Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Internet access-complimentary']"
Jungle Safari,"['Safari', 'Jungle Safari']"
Intercom Facility,['Intercom Facility']
Free Parking,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free long-term parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
Games room,"['Table games', 'Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']"
Room Size:140 sq m(1506 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Wi-Fi/Wireless LAN,"['Wifi EnabledFree Wi-Fi', 'Wi Fi Internet', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi']"
DVD Player on Request,['DVD Player on Request']
Shared bathroom with sink in room,"['Shared bathroom', 'Attached bathroom in all the rooms', 'Living Room and Bed Room', 'Separate living room', 'Sofa in the room', 'In-room safe (some rooms)', 'Shared bathroom with sink in room']"
Parking Facility At Hotel,"['Parking Facility', 'Parking Facility At Hotel']"
Non Ac Room,['Non Ac Room']
Doorman,"['Doorman/doorwoman', 'Doorman']"
Ice and ironing Room,['Ice and ironing Room']
Attach balcony,"['Attached Balcony', 'Attach balcony']"
Turndown service,"['Turndown service (on request)', 'Turndown service']"
440 sq ft,"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
breakfast,"['Continental Breakfast', 'Breakfast Buffet', 'Breakfast Room', 'Breakfast buffet', 'breakfast', 'Complimentary Breakfast', 'Continental breakfast']"
Airport Close by,"['Airport Close by', 'Airport transfer (price advised by hotel)']"
Mini Golf,"['Golf', 'Miniature Golf Course', 'Mini Golf']"
Lounge,"['Bar/lounge', 'Lounge', 'Separate Lounge']"
"250 room space for double room, with Wify,","['Living Room and Bed Room', 'In-room safe (some rooms)', 'TVLiving Room', '250 room space for double room, with Wify,']"
Car rental,"['Car Rental Facility', 'Car rental', 'Car Hire', 'Car rental facilities']"
Room Service (24 Hours)(after 11:00pm.round The Clock Menu),"['Room service (24 hours)', '24 hour room service', 'Room Service, 24 Hour Reception', 'Room Service 6 Am - 12 Night', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', '24-hour Room Service']"
Courtyard view,"['Courtyard view', 'Courtyard View']"
Courtyard View,"['Courtyard view', 'Courtyard View']"
Pets allowed,"['Pets Allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)', 'Pets allowed']"
Bicycles,['Bicycles']
Parking (nearby),"['Free parking nearby', 'Parking nearby', 'Park Nearby', 'Parking', 'Parking nearby (surcharge)', 'Parking (nearby)']"
Veg/Non-Veg,['Veg/Non-Veg']
Secretarial Services,"['Secretarial services', 'Secretarial Services']"
Balcony or patio,"['Balcony', 'Patio-room', 'Furnished balcony or patio', 'Patio', 'Balcony or patio']"
Airport transportation - drop-off (surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation - drop-off (complimentary)', 'Airport transportation (surcharge)', 'Airport transportation - drop-off (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']"
Telephone-Room,"['Bathroom telephone', 'Telephone', 'Telephone-Room']"
Babysitting Service,"['Babysitting Service', 'Babysitting/Child Services']"
Kayaking,"['Canoeing', 'Kayaking']"
"RV, bus, truck parking","['RV, bus, truck parking (surcharge)', 'Free RV, bus, truck parking', 'RV, bus, truck parking']"
Steam room,"['Steam Room', 'Steam room']"
Yoga (nearby),['Yoga (nearby)']
Smoke-free property,"['Smoke-free property (fines apply)', 'Smoke-free property']"
Gym,['Gym']
1 children's pool,"[""Children's pool"", ""Swimming pool - children's"", ""1 children's pool""]"
24-hour fitness facilities,['24-hour fitness facilities']
Separate Lounge,"['Separate dining room', 'Lounge', 'Separate Lounge']"
Self parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Long-term parking (surcharge)', 'Garage parking (surcharge)', 'Self parking', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Decks with sunbeds,['Decks with sunbeds']
Security guard,"['Security Guards', 'Security guard']"
Bathroom Toiletries,"['TVBathroom Toiletries', 'Toiletries in the Bathroom', 'Bathroom Toiletries', 'Toiletries In The Bathroom']"
Room Size:25 sq m(269 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Dial-up Internet access - surcharge,"['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-dial-up', 'Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']"
Spa,"['Private spa tub', 'Spa & Wellness Centre', 'Spa (nearby)', 'Spa/Massage/Wellness', 'Spa tub', 'Spa']"
Ballroom dancing,"['Dancing', 'Ballroom', 'Ballroom dancing']"
Voltage 240v,['Voltage 240v']
Darts,['Darts']
Trident Club Lounge Access,"['Access to Club Lounge', 'Trident Club Lounge Access', 'Club Lounge Access', 'Business Club Lounge Access']"
Indoor Games,['Indoor Games']
Toiletries In The Bathroom,"['Toiletries in the Bathroom', 'Bathroom Toiletries', 'Toiletries In The Bathroom']"
Tours organised,['Tours organised']
Very small sized lobby,['Very small sized lobby']
Marina on site,['Marina on site']
Aquarium,['Aquarium']
Limousine service available,"['Limousine Service', 'Limo or Town Car service available', 'Limousine service available']"
Chess,['Chess']
Tours/ticket assistance,"['Tours/ticket assistance', 'Tour assistance']"
"Car parking (Payable to hotel, if applicable)","['Car parking (Payable to hotel, if applicable)']"
Parking (free),"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free long-term parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
Double Bed,['Double Bed']
Theme park shuttle (complimentary),"['Theme park shuttle (surcharge)', 'Area shuttle (complimentary)', 'Theme park shuttle (complimentary)']"
Aerobics,"['Aqua aerobics', 'Aerobics']"
Football Field,"['Football Field (nearby)', 'Football Field']"
Karate,['Karate']
Mt,['Mt']
Front desk (limited hours),"['24 hours front desk', '24-Hour Front Desk', 'Front desk', 'Room service (limited hours)', 'Front desk (limited hours)', 'Room service(limited hours)']"
Balcony / Sit Out,"['Balcony/sit Out', 'Balcony / Sit Out']"
Vending machine (drinks),"['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']"
Separate dining area,"['Separate Dinning area', 'Dinning Area', 'Separate sitting area', 'Separate dining room', 'Separate dining area']"
Parasailing,['Parasailing']
Arcade/game room,"['Video Game Arcade', 'Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']"
Grocery delivery,['Grocery delivery']
Fortune teller,['Fortune teller']
Jacuzzi Bathtub,"['Jacuzzi', 'bathtub', 'Bathtub', 'Jetted bathtub', 'Jacuzzi Bathtub']"
Free Wi-Fi Icon,"['Free Wi-Fi', 'Free Wi-Fi Icon', 'Free Wi Fi*']"
Babysitting/Child Services,"['Babysitting or child care', 'Babysitting or childcare', 'Babysitting Service', 'Babysitting/Child Services']"
window opens,"['Window opens', 'window opens']"
Bodyguards (on request),['Bodyguards (on request)']
Orthopedic mattress with high quality pillows and bed linen,['Orthopedic mattress with high quality pillows and bed linen']
Beach sun loungers,"['Beach umbrellas', 'Beach/pool umbrellas', 'Beach sun loungers']"
Taxi Services,"['Taxi service', 'Taxi Services']"
Patisserie,['Patisserie']
Art classes,['Art classes']
Express check-out,"['Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']"
City or Park View,"['City or Rock Heights Park View', 'City view', 'City or Park View']"
Area shuttle (surcharge),"['Airport shuttle(surcharge)', 'Shuttle Service (surcharge)', 'Area shuttle (complimentary)', 'Shopping center shuttle (surcharge)', 'Parking nearby (surcharge)', 'Area shuttle', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)']"
Wired (high-speed) Internet access - surcharge,"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'Free high-speed Internet access', 'High-speed broadband and wireless Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']"
Outdoor parking (surcharge),"['Secure parking (surcharge)', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Health or fitness facilities,"['Health and fitness centre', 'Health or fitness facilities', 'Fitness facilities']"
Billiards or pool table,"['Pool / Snooker Table', 'Billiards/pool table', 'Pool Table', 'Pool table', 'Billiards or pool table']"
TVIntercom Facility,['TVIntercom Facility']
Super Deluxe Ac Room,['Super Deluxe Ac Room']
Banquet facilities,"['Conference & Banquet Facilities', 'Meeting/Banquet Facilities', 'Banquet facilities']"
Flat-panel TV,"[""32'' LCD Flat-screen TV"", 'Flat-panel TV', ""40'' LCD Flat screen TV""]"
Vending Machine (drinks),"['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']"
